Zip (int),Station
60946,USA_IL_Bloomington.Normal-Central.Illinois.Rgnl.AP.724397_TMY3
63012,USA_IL_Cahokia.AP.725314_TMY3
63013,USA_MO_St.Louis-Spirit.of.St.Louis.AP.724345_TMY3
79776,USA_TX_Midland.Intl.AP.722650_TMY3
79902,USA_TX_El.Paso.Intl.AP.722700_TMY3
70571,USA_LA_Lafayette.RgnlAP.722405_TMY3
70714,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3
71921,USA_AR_Hot.Springs.Mem.AP.723415_TMY3
72949,USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3
83406,USA_ID_Idaho.Falls-Fanning.Field.725785_TMY3
84639,USA_UT_Delta.Muni.AP.724795_TMY3
59925,USA_MT_Kalispell-Glacier.Park.Intl.AP.727790_TMY3
68967,USA_NE_Holdrege-Brewster.Field.725628_TMY3
65439,USA_MO_Farmington.Rgnl.AP.724454_TMY3
73008,USA_OK_Oklahoma.City-Wiley.Post.Field.723544_TMY3
77036,USA_TX_Houston-William.P.Hobby.AP.722435_TMY3
94956,USA_CA_Santa.Rosa.AWOS.724957_TMY3
51579,USA_IA_Denison.Muni.AP.725477_TMY3
52639,USA_IA_Keokuk.Muni.AP.725456_TMY3
54841,USA_WI_Rice.Lake.Muni.AP.726467_TMY3
55068,USA_MN_South.St.Paul.Muni.AP.726603_TMY3
55561,USA_MN_Edin.Prairie-Flying.Cloud.AP.726579_TMY3
36530,USA_FL_Pensacola-Forest.Sherman.NAS.722225_TMY3
36556,USA_AL_Mobile-Rgnl.AP.722230_TMY3
37878,USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3
39522,USA_MS_Gulfport-Biloxi.Intl.AP.747685_TMY3
40219,USA_KY_Louisville-Standiford.Field.724230_TMY3
47060,USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3
59703,USA_MT_Butte-Bert.Mooney.AP.726785_TMY3
60183,USA_IL_Du.Page.AP.725305_TMY3
58779,USA_ND_Minot.Intl.AP.727676_TMY3
51338,USA_IA_Spencer.Muni.AP.726500_TMY3
35441,USA_AL_Tuscaloosa.Muni.AP.722286_TMY3
36313,USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3
43711,USA_OH_Zanesville.Muni.AP.724286_TMY3
47987,USA_IN_Lafayette-Purdue.University.AP.724386_TMY3
44399,USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3
46235,USA_IN_Indianapolis.Intl.AP.724380_TMY3
34953,USA_FL_Fort.Pierce-St.Lucie.County.AP.722103_TMY3
17024,USA_PA_Harrisburg-Capital.City.AP.725118_TMY3
17222,USA_MD_Hagerstown-Washington.County.Rgnl.AP.724066_TMY3
32158,USA_FL_Orlando-Sanford.AP.722057_TMY3
32531,USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3
32542,USA_FL_Valparaiso-Elgin.AFB.722210_TMY3
33767,USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3
24869,USA_WV_Bluefield-Mercer.County.AP.724125_TMY3
